,Alu_Bhorta,Bakorkhani,Balosai,Beef Kala Bhuna,Beguni,Biryani,Chola_bhuna,Cream Jam,Dim Bhuna,Doi,Dudh Puli PItha,Egg_omlete,Faluda,Golap Jam,Hafsi Sondesh,Haleem,Hilsha_fish,Jilapi,Kabab,Kacha  Chana,Kacha Golla,Kalojam,Kasmiri Chomchom,Khichuri,Lemon Barfi,Malaikari,Maoyaa Laddo,Morog_polao,Nehari,Nokshi Pitha,Pakon Pitha,Panta Ilish,Patishapta,Payesh,Phuchka,Porota,Rajvog,Ravogsai,Roshmalai,Rosogolla,S.P.Chomchom,Sada Chomchom,Sajer Pitha,Shamok Pitha,Shemai
Alu_Bhorta,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
Bakorkhani,0,5,0,1,3,0,0,0,0,0,1,1,0,0,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Balosai,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef Kala Bhuna,0,0,0,28,0,2,0,0,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Beguni,0,1,0,1,10,0,0,0,0,1,0,5,0,0,0,0,5,0,3,0,1,0,1,5,0,0,0,0,3,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0
Biryani,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chola_bhuna,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,4,1,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cream Jam,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dim Bhuna,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0
Doi,0,0,0,0,1,0,0,0,0,30,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,9,3,0,0,0,0,0
Dudh Puli PItha,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egg_omlete,0,0,0,0,4,3,1,0,0,3,0,34,0,0,1,2,2,0,2,0,1,0,0,7,0,0,0,1,6,0,0,0,0,0,7,6,0,0,4,4,0,0,0,0,0
Faluda,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golap Jam,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hafsi Sondesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haleem,0,0,0,4,0,7,1,0,0,1,0,1,0,0,0,22,2,0,2,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0
Hilsha_fish,0,0,0,1,4,1,0,0,0,0,0,6,1,0,0,4,20,0,2,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0
Jilapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kabab,0,0,0,2,2,1,2,0,0,0,0,9,0,0,0,1,1,0,32,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0
Kacha  Chana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacha Golla,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,5,0,0,0,0,0
Kalojam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Kasmiri Chomchom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khichuri,0,0,0,0,1,3,1,0,0,1,0,4,0,0,0,7,3,0,4,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Lemon Barfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaikari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maoyaa Laddo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morog_polao,0,0,0,0,0,11,1,0,0,0,0,4,0,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Nehari,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,5,2,0,2,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,6,2,0,0,1,1,0,0,1,0,0
Nokshi Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakon Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panta Ilish,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Patishapta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Payesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Phuchka,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,1,8,0,0,0,0,0,32,0,0,0,0,3,0,0,0,0,0
Porota,0,1,0,0,3,1,0,0,0,1,0,10,0,0,0,4,0,0,4,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,2,50,0,0,1,2,0,0,0,0,0
Rajvog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
Ravogsai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
Roshmalai,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,37,3,0,0,0,0,0
Rosogolla,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,71,0,0,0,0,0
S.P.Chomchom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
Sada Chomchom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Sajer Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
Shamok Pitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Shemai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
