class,precision,recall,f1,support,tp,fp,fn
bakorkhani -,85.71428571428571,96.0,90.56603773584904,25,24,4,1
balosai -,97.5,100.0,98.73417721518987,39,39,1,0
beef kala bhuna -,94.5945945945946,81.3953488372093,87.5,43,35,2,8
beguni -,93.18181818181817,93.18181818181817,93.18181818181817,44,41,3,3
biryani -,80.88235294117648,100.0,89.43089430894308,55,55,13,0
chola_bhuna -,80.0,100.0,88.8888888888889,12,12,3,0
cream jam -,95.45454545454545,100.0,97.67441860465117,21,21,1,0
dim bhuna -,63.33333333333333,100.0,77.55102040816327,19,19,11,0
doi -,94.0,94.0,94.0,50,47,3,3
dudh puli pitha -,88.88888888888889,100.0,94.11764705882352,16,16,2,0
egg_omlete -,96.7741935483871,77.92207792207793,86.33093525179856,77,60,2,17
faluda -,100.0,100.0,100.0,21,21,0,0
golap jam -,96.29629629629629,100.0,98.11320754716981,26,26,1,0
hafsi sondesh -,95.65217391304348,100.0,97.77777777777777,22,22,1,0
haleem -,92.7536231884058,95.52238805970148,94.11764705882352,67,64,5,3
hilsha_fish -,92.15686274509804,92.15686274509804,92.15686274509804,51,47,4,4
jilapi -,100.0,100.0,100.0,16,16,0,0
kabab -,91.93548387096774,93.44262295081968,92.68292682926828,61,57,5,4
kacha chana -,100.0,100.0,100.0,23,23,0,0
kacha golla -,100.0,57.14285714285714,72.72727272727273,35,20,0,15
kalojam -,100.0,100.0,100.0,32,32,0,0
kasmiri chomchom -,100.0,100.0,100.0,33,33,0,0
khichuri -,90.66666666666666,83.9506172839506,87.17948717948718,81,68,7,13
lemon barfi -,96.7741935483871,100.0,98.36065573770492,30,30,1,0
malaikari -,100.0,100.0,100.0,32,32,0,0
maoyaa laddo -,100.0,100.0,100.0,28,28,0,0
mashed_potato -,42.857142857142854,33.33333333333333,37.5,9,3,4,6
morog_polao -,64.28571428571429,36.0,46.15384615384615,25,9,5,16
nehari -,84.12698412698413,98.14814814814815,90.5982905982906,54,53,10,1
nokshi pitha -,94.44444444444444,100.0,97.14285714285714,17,17,1,0
pakon pitha -,100.0,100.0,100.0,15,15,0,0
panta ilish -,55.00000000000001,78.57142857142857,64.70588235294117,14,11,9,3
patishapta -,83.33333333333334,100.0,90.9090909090909,15,15,3,0
payesh -,89.47368421052632,100.0,94.44444444444444,17,17,2,0
phuchka -,98.14814814814815,98.14814814814815,98.14814814814815,54,53,1,1
porota -,97.14285714285714,86.07594936708861,91.2751677852349,79,68,2,11
rajvog -,100.0,100.0,100.0,31,31,0,0
ravogsai -,100.0,100.0,100.0,26,26,0,0
roshmalai -,97.91666666666666,92.15686274509804,94.94949494949493,51,47,1,4
rosogolla -,86.17021276595744,94.18604651162791,89.99999999999999,86,81,13,5
s.p.chomchom -,100.0,90.47619047619048,95.0,21,19,0,2
sada chomchom -,100.0,100.0,100.0,18,18,0,0
sajer pitha -,100.0,100.0,100.0,17,17,0,0
shamok pitha -,100.0,100.0,100.0,15,15,0,0
shemai -,100.0,100.0,100.0,15,15,0,0
