class,precision,recall,f1,support,tp,fp,fn
Alu_Bhorta,0.0,0.0,0.0,13,0,0,13
Bakorkhani,50.0,20.0,28.571428571428577,25,5,5,20
Balosai,97.5,100.0,98.73417721518987,39,39,1,0
Beef Kala Bhuna,68.29268292682927,59.57446808510638,63.63636363636363,47,28,13,19
Beguni,31.25,22.727272727272727,26.31578947368421,44,10,22,34
Biryani,56.75675675675676,76.36363636363637,65.11627906976744,55,42,32,13
Chola_bhuna,33.33333333333333,15.789473684210526,21.428571428571427,19,3,6,16
Cream Jam,95.45454545454545,91.30434782608695,93.33333333333333,23,21,1,2
Dim Bhuna,100.0,10.526315789473683,19.04761904761905,19,2,0,17
Doi,73.17073170731707,57.692307692307686,64.51612903225806,52,30,11,22
Dudh Puli PItha,94.11764705882352,100.0,96.96969696969697,16,16,1,0
Egg_omlete,38.63636363636363,38.63636363636363,38.63636363636363,88,34,54,54
Faluda,91.30434782608695,100.0,95.45454545454545,21,21,2,0
Golap Jam,100.0,100.0,100.0,26,26,0,0
Hafsi Sondesh,95.65217391304348,100.0,97.77777777777777,22,22,1,0
Haleem,32.35294117647059,31.88405797101449,32.116788321167874,69,22,46,47
Hilsha_fish,44.44444444444444,35.714285714285715,39.603960396039604,56,20,25,36
Jilapi,100.0,100.0,100.0,16,16,0,0
Kabab,44.44444444444444,51.61290322580645,47.76119402985074,62,32,40,30
Kacha  Chana,95.83333333333334,100.0,97.87234042553192,23,23,1,0
Kacha Golla,73.52941176470588,64.1025641025641,68.49315068493152,39,25,9,14
Kalojam,94.11764705882352,88.88888888888889,91.42857142857143,36,32,2,4
Kasmiri Chomchom,97.05882352941177,100.0,98.50746268656717,33,33,1,0
Khichuri,50.476190476190474,64.63414634146342,56.68449197860962,82,53,52,29
Lemon Barfi,100.0,100.0,100.0,30,30,0,0
Malaikari,96.96969696969697,100.0,98.46153846153847,32,32,1,0
Maoyaa Laddo,100.0,100.0,100.0,28,28,0,0
Morog_polao,0.0,0.0,0.0,27,0,5,27
Nehari,34.831460674157306,55.35714285714286,42.75862068965518,56,31,58,25
Nokshi Pitha,100.0,100.0,100.0,17,17,0,0
Pakon Pitha,100.0,100.0,100.0,15,15,0,0
Panta Ilish,0.0,0.0,0.0,14,0,0,14
Patishapta,100.0,100.0,100.0,15,15,0,0
Payesh,89.47368421052632,100.0,94.44444444444444,17,17,2,0
Phuchka,35.55555555555556,58.18181818181818,44.13793103448276,55,32,58,23
Porota,71.42857142857143,59.523809523809526,64.93506493506493,84,50,20,34
Rajvog,100.0,100.0,100.0,31,31,0,0
Ravogsai,100.0,100.0,100.0,26,26,0,0
Roshmalai,60.65573770491803,72.54901960784314,66.07142857142857,51,37,24,14
Rosogolla,72.44897959183673,81.60919540229885,76.75675675675676,87,71,27,16
S.P.Chomchom,95.45454545454545,100.0,97.67441860465117,21,21,1,0
Sada Chomchom,100.0,100.0,100.0,18,18,0,0
Sajer Pitha,94.44444444444444,100.0,97.14285714285714,17,17,1,0
Shamok Pitha,93.75,100.0,96.7741935483871,15,15,1,0
Shemai,100.0,100.0,100.0,16,16,0,0
