class,precision,recall,f1,support,tp,fp,fn
Predicted_Alu_Bhorta,0.0,0.0,0.0,13,0,1,13
Predicted_Bakorkhani,78.57142857142857,44.0,56.41025641025641,25,11,3,14
Predicted_Balosai,100.0,100.0,100.0,39,39,0,0
Predicted_Beef Kala Bhuna,89.1891891891892,70.2127659574468,78.57142857142857,47,33,4,14
Predicted_Beguni,64.44444444444444,65.9090909090909,65.1685393258427,44,29,16,15
Predicted_Biryani,73.77049180327869,81.81818181818183,77.58620689655173,55,45,16,10
Predicted_Chola_bhuna,100.0,26.31578947368421,41.66666666666667,19,5,0,14
Predicted_Cream Jam,95.83333333333334,100.0,97.87234042553192,23,23,1,0
Predicted_Dim Bhuna,100.0,68.42105263157895,81.25000000000001,19,13,0,6
Predicted_Doi,80.3921568627451,78.84615384615384,79.61165048543688,52,41,10,11
Predicted_Dudh Puli PItha,100.0,100.0,100.0,16,16,0,0
Predicted_Egg_omlete,45.13274336283185,57.95454545454546,50.74626865671641,88,51,62,37
Predicted_Faluda,100.0,100.0,100.0,21,21,0,0
Predicted_Golap Jam,100.0,100.0,100.0,26,26,0,0
Predicted_Hafsi Sondesh,100.0,100.0,100.0,22,22,0,0
Predicted_Haleem,64.70588235294117,63.76811594202898,64.23357664233575,69,44,24,25
Predicted_Hilsha_fish,52.27272727272727,82.14285714285714,63.888888888888886,56,46,42,10
Predicted_Jilapi,100.0,100.0,100.0,16,16,0,0
Predicted_Kabab,59.70149253731343,64.51612903225806,62.01550387596899,62,40,27,22
Predicted_Kacha  Chana,95.83333333333334,100.0,97.87234042553192,23,23,1,0
Predicted_Kacha Golla,96.66666666666667,74.35897435897436,84.05797101449275,39,29,1,10
Predicted_Kalojam,83.33333333333334,97.22222222222221,89.74358974358975,36,35,7,1
Predicted_Kasmiri Chomchom,100.0,100.0,100.0,33,33,0,0
Predicted_Khichuri,87.6923076923077,69.51219512195121,77.55102040816327,82,57,8,25
Predicted_Lemon Barfi,100.0,100.0,100.0,30,30,0,0
Predicted_Malaikari,100.0,100.0,100.0,32,32,0,0
Predicted_Maoyaa Laddo,100.0,100.0,100.0,28,28,0,0
Predicted_Morog_polao,43.75,25.925925925925924,32.558139534883715,27,7,9,20
Predicted_Nehari,66.66666666666666,75.0,70.58823529411765,56,42,21,14
Predicted_Nokshi Pitha,100.0,100.0,100.0,17,17,0,0
Predicted_Pakon Pitha,100.0,100.0,100.0,15,15,0,0
Predicted_Panta Ilish,53.84615384615385,50.0,51.85185185185186,14,7,6,7
Predicted_Patishapta,100.0,100.0,100.0,15,15,0,0
Predicted_Payesh,100.0,100.0,100.0,17,17,0,0
Predicted_Phuchka,60.256410256410255,85.45454545454545,70.6766917293233,55,47,31,8
Predicted_Porota,84.05797101449275,69.04761904761905,75.81699346405229,84,58,11,26
Predicted_Rajvog,100.0,100.0,100.0,31,31,0,0
Predicted_Ravogsai,100.0,100.0,100.0,26,26,0,0
Predicted_Roshmalai,93.33333333333333,82.35294117647058,87.49999999999999,51,42,3,9
Predicted_Rosogolla,85.1063829787234,91.95402298850574,88.39779005524862,87,80,14,7
Predicted_S.P.Chomchom,100.0,100.0,100.0,21,21,0,0
Predicted_Sada Chomchom,100.0,100.0,100.0,18,18,0,0
Predicted_Sajer Pitha,100.0,100.0,100.0,17,17,0,0
Predicted_Shamok Pitha,100.0,100.0,100.0,15,15,0,0
Predicted_Shemai,100.0,100.0,100.0,16,16,0,0
