class,precision,recall,f1,support,tp,fp,fn
Bakorkhani ,95.23809523809523,80.0,86.95652173913044,25,20,1,5
Balosai ,100.0,100.0,100.0,39,39,0,0
Beef Kala Bhuna ,97.14285714285714,72.3404255319149,82.92682926829269,47,34,1,13
Beguni ,90.2439024390244,84.0909090909091,87.05882352941177,44,37,4,7
Biryani ,75.71428571428571,96.36363636363636,84.8,55,53,17,2
Chola_bhuna ,100.0,57.89473684210527,73.33333333333334,19,11,0,8
Cream Jam ,100.0,100.0,100.0,21,21,0,0
Dim Bhuna ,90.0,94.73684210526315,92.3076923076923,19,18,2,1
Doi ,73.13432835820896,94.23076923076923,82.35294117647058,52,49,18,3
Dudh Puli Pitha ,100.0,100.0,100.0,16,16,0,0
Egg_omlete ,82.14285714285714,78.4090909090909,80.23255813953489,88,69,15,19
Faluda ,75.0,100.0,85.71428571428571,21,21,7,0
Golap Jam ,100.0,100.0,100.0,26,26,0,0
Hafsi Sondesh ,100.0,100.0,100.0,22,22,0,0
Haleem ,84.93150684931507,89.85507246376811,87.32394366197182,69,62,11,7
Hilsha_fish ,73.97260273972603,96.42857142857143,83.72093023255813,56,54,19,2
Jilapi ,100.0,100.0,100.0,16,16,0,0
Kabab ,85.48387096774194,85.48387096774194,85.48387096774194,62,53,9,9
Kacha Chana ,100.0,100.0,100.0,23,23,0,0
Kacha Golla ,100.0,84.61538461538461,91.66666666666666,39,33,0,6
Kalojam ,100.0,100.0,100.0,32,32,0,0
Kasmiri Chomchom ,100.0,100.0,100.0,33,33,0,0
Khichuri ,82.6086956521739,92.6829268292683,87.35632183908046,82,76,16,6
Lemon Barfi ,100.0,100.0,100.0,30,30,0,0
Malaikari ,100.0,100.0,100.0,32,32,0,0
Maoyaa Laddo ,100.0,100.0,100.0,28,28,0,0
Mashed_potato ,50.0,23.076923076923077,31.57894736842105,13,3,3,10
Morog_polao ,80.0,14.814814814814813,25.0,27,4,1,23
Nehari ,74.24242424242425,87.5,80.32786885245902,56,49,17,7
Nokshi Pitha ,100.0,100.0,100.0,17,17,0,0
Pakon Pitha ,100.0,100.0,100.0,15,15,0,0
Panta Ilish ,66.66666666666666,57.14285714285714,61.53846153846153,14,8,4,6
Patishapta ,100.0,100.0,100.0,15,15,0,0
Payesh ,100.0,100.0,100.0,17,17,0,0
Phuchka ,78.125,90.9090909090909,84.03361344537814,55,50,14,5
Porota ,98.52941176470588,73.62637362637363,84.27672955974843,91,67,1,24
Rajvog ,100.0,100.0,100.0,31,31,0,0
Ravogsai ,100.0,100.0,100.0,26,26,0,0
Roshmalai ,95.45454545454545,82.35294117647058,88.42105263157896,51,42,2,9
Rosogolla ,87.62886597938144,97.70114942528735,92.3913043478261,87,85,12,2
S.P.Chomchom ,100.0,100.0,100.0,21,21,0,0
Sada Chomchom ,100.0,100.0,100.0,18,18,0,0
Sajer Pitha ,100.0,100.0,100.0,17,17,0,0
Shamok Pitha ,100.0,100.0,100.0,15,15,0,0
Shemai ,100.0,100.0,100.0,16,16,0,0
