class,precision,recall,f1,support,tp,fp,fn
bakorkhani,40.0,36.36363636363637,38.0952380952381,11,4,6,7
balosai,31.57894736842105,96.0,47.52475247524752,25,24,52,1
beef kala bhuna,1.834862385321101,5.128205128205128,2.7027027027027026,39,2,107,37
beguni,64.51612903225806,85.1063829787234,73.39449541284404,47,40,22,7
biryani,87.2340425531915,93.18181818181817,90.10989010989012,44,41,6,3
chola_bhuna,69.62025316455697,100.0,82.08955223880596,55,55,24,0
cream jam,75.0,88.23529411764706,81.08108108108108,17,15,5,2
dim bhuna,100.0,4.3478260869565215,8.333333333333332,23,1,0,22
doi,86.36363636363636,100.0,92.68292682926828,19,19,3,0
dudh puli pitha,85.1063829787234,76.92307692307693,80.8080808080808,52,40,7,12
egg_omlete,100.0,43.75,60.86956521739131,16,7,0,9
faluda,94.87179487179486,86.04651162790698,90.2439024390244,86,74,4,12
golap jam,91.30434782608695,100.0,95.45454545454545,21,21,2,0
hafsi sondesh,0.0,0.0,0.0,26,0,1,26
haleem,0.0,0.0,0.0,22,0,31,22
hilsha_fish,90.625,84.05797101449275,87.21804511278197,69,58,6,11
jilapi,84.12698412698413,94.64285714285714,89.07563025210084,56,53,10,3
kabab,100.0,37.5,54.54545454545454,16,6,0,10
kacha chana,84.21052631578947,94.11764705882352,88.88888888888889,51,48,9,3
kacha golla,0.0,0.0,0.0,23,0,0,23
kalojam,24.6031746031746,79.48717948717949,37.57575757575758,39,31,95,8
kasmiri chomchom,80.0,100.0,88.8888888888889,36,36,9,0
khichuri,0.0,0.0,0.0,33,0,36,33
lemon barfi,90.0,87.8048780487805,88.8888888888889,82,72,8,10
malaikari,0.0,0.0,0.0,30,0,6,30
maoyaa laddo,0.0,0.0,0.0,32,0,3,32
morog_polao,100.0,50.0,66.66666666666666,28,14,0,14
nehari,100.0,7.6923076923076925,14.285714285714288,26,2,0,24
nokshi pitha,97.67441860465115,75.0,84.84848484848484,56,42,1,14
pakon pitha,47.22222222222222,100.0,64.15094339622641,17,17,19,0
panta ilish,14.516129032258066,60.0,23.376623376623378,15,9,53,6
patishapta,66.66666666666666,57.14285714285714,61.53846153846153,14,8,4,6
payesh,50.0,100.0,66.66666666666666,15,15,15,0
phuchka,42.5,100.0,59.64912280701754,17,17,23,0
porota,100.0,92.72727272727272,96.22641509433963,55,51,0,4
rajvog,98.27586206896551,74.02597402597402,84.44444444444446,77,57,1,20
ravogsai,0.0,0.0,0.0,31,0,0,31
roshmalai,0.0,0.0,0.0,26,0,0,26
rosogolla,88.46153846153845,90.19607843137256,89.32038834951457,51,46,6,5
s.p.chomchom,97.01492537313433,75.5813953488372,84.96732026143792,86,65,2,21
sada chomchom,0.0,0.0,0.0,21,0,1,21
sajer pitha,0.0,0.0,0.0,18,0,0,18
shamok pitha,0.0,0.0,0.0,17,0,4,17
shemai,0.0,0.0,0.0,15,0,0,15
Unnamed: 45,0.0,0.0,0.0,16,0,0,16
