class,precision,recall,f1,support,tp,fp,fn
Bakorkhani -,83.33333333333334,80.0,81.6326530612245,25,20,4,5
Balosai -,100.0,100.0,100.0,39,39,0,0
Beef Kala Bhuna -,90.2439024390244,78.72340425531915,84.0909090909091,47,37,4,10
Beguni -,83.33333333333334,79.54545454545455,81.3953488372093,44,35,7,9
Biriyani -,77.41935483870968,85.71428571428571,81.35593220338983,56,48,14,8
Chola_bhuna -,85.71428571428571,63.1578947368421,72.72727272727273,19,12,2,7
Cream Jam -,100.0,100.0,100.0,21,21,0,0
Dim Bhuna -,79.16666666666666,100.0,88.37209302325581,19,19,5,0
Doi -,76.27118644067797,84.90566037735849,80.35714285714285,53,45,14,8
Dudh Puli Pitha -,100.0,100.0,100.0,16,16,0,0
Egg_omlete -,79.71014492753623,65.47619047619048,71.89542483660131,84,55,14,29
Faluda -,100.0,100.0,100.0,21,21,0,0
Golap Jam -,100.0,100.0,100.0,26,26,0,0
Hafsi Sondesh -,100.0,84.61538461538461,91.66666666666666,26,22,0,4
Haleem -,86.66666666666667,81.25,83.87096774193549,64,52,8,12
Hilsha_fish -,83.60655737704919,94.44444444444444,88.69565217391305,54,51,10,3
Jilapi -,100.0,100.0,100.0,16,16,0,0
Kabab -,77.46478873239437,93.22033898305084,84.6153846153846,59,55,16,4
Kacha Chana -,100.0,100.0,100.0,23,23,0,0
Kacha Golla -,93.54838709677419,74.35897435897436,82.85714285714285,39,29,2,10
Kalojam -,100.0,100.0,100.0,32,32,0,0
Kasmiri Chomchom -,100.0,100.0,100.0,33,33,0,0
Khichuri -,80.0,92.6829268292683,85.87570621468926,82,76,19,6
Lemon Barfi -,100.0,100.0,100.0,30,30,0,0
Malaikari -,100.0,100.0,100.0,32,32,0,0
Maoyaa Laddo -,100.0,100.0,100.0,28,28,0,0
Mashed_potato -,41.66666666666667,38.46153846153847,40.0,13,5,7,8
Morog_pola -,66.66666666666666,22.22222222222222,33.33333333333333,27,6,3,21
Nehari -,71.42857142857143,89.28571428571429,79.36507936507937,56,50,20,6
Nokshi Pitha -,100.0,100.0,100.0,17,17,0,0
Pakon Pitha -,100.0,100.0,100.0,15,15,0,0
Panta Illish -,78.57142857142857,78.57142857142857,78.57142857142857,14,11,3,3
Patishapta -,93.75,100.0,96.7741935483871,15,15,1,0
Payesh -,100.0,100.0,100.0,17,17,0,0
Phuchka -,80.95238095238095,92.72727272727272,86.4406779661017,55,51,12,4
Porota -,94.02985074626866,76.82926829268293,84.56375838926175,82,63,4,19
Rajyog -,96.875,100.0,98.4126984126984,31,31,1,0
Ravogsai -,100.0,100.0,100.0,26,26,0,0
Roshmalai -,77.35849056603774,80.3921568627451,78.84615384615384,51,41,12,10
Rosogolla -,84.6938775510204,88.29787234042553,86.45833333333334,94,83,15,11
S.P.Chomchom -,100.0,100.0,100.0,21,21,0,0
Sada Chomchom -,100.0,100.0,100.0,18,18,0,0
Sajer Pitha -,100.0,100.0,100.0,17,17,0,0
Shamok Pitha -,100.0,100.0,100.0,15,15,0,0
Shemai -,100.0,100.0,100.0,16,16,0,0
