image_path,ground_truth,prediction,success,error
../data/validation/Bakorkhani/000231.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000227.jpg,Bakorkhani,Bakarkhani,True,
../data/validation/Bakorkhani/000244.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000279.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000255.jpg,Bakorkhani,Chola Bhuna,True,
../data/validation/Bakorkhani/000241.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000269.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000296.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000297.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000322.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000242.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000281.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000295.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000257.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000323.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000307.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000271.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000265.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000300.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000277.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000276.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000262.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000238.jpg,Bakorkhani,Bakarkhani,True,
../data/validation/Bakorkhani/000228.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Bakorkhani/000229.jpg,Bakorkhani,Bakorkhani,True,
../data/validation/Balosai/Balosai (216).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (241).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (236).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (220).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (221).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (237).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (240).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (217).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (230).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (226).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (210).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (211).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (207).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (227).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (231).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (224).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (232).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (208).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (228).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (245).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (212).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (213).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (244).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (229).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (209).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (233).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (225).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (238).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (243).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (214).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (222).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (234).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (218).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (219).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (235).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (223).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (215).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (242).jpg,Balosai,Balosai,True,
../data/validation/Balosai/Balosai (239).jpg,Balosai,Balosai,True,
../data/validation/Beef Kala Bhuna/maxresdefault (14).jpg,Beef Kala Bhuna,Beef Kala Bhuna,True,
../data/validation/Beef Kala Bhuna/000350.jpg,Beef Kala Bhuna,Beef Kala Bhuna,True,
../data/validation/Beef Kala Bhuna/000393.jpg,Beef Kala Bhuna,Hilsa Fish,True,
../data/validation/Beef Kala Bhuna/000288(1).jpg,Beef Kala Bhuna,Beef Kala Bhuna,True,
../data/validation/Beef Kala Bhuna/IMG_0288-copy.jpg,Beef Kala Bhuna,Beef Kala Bhuna,True,
